account,annotated_by_group,annotator_crowd_type
engjpn010f,MiSS,researchers
engjpn0119,MiSS,researchers
engjpn011d,HuaweiTSC,paid annotators
engjpn011e,HuaweiTSC,paid annotators
engjpn011f,HuaweiTSC,paid annotators
engjpn0120,HuaweiTSC,paid annotators
engjpn0121,HuaweiTSC,paid annotators
engjpn0122,HuaweiTSC,paid annotators
engjpn0123,HuaweiTSC,paid annotators
engjpn0124,HuaweiTSC,paid annotators
engjpn0125,HuaweiTSC,paid annotators
engjpn0126,HuaweiTSC,paid annotators
engjpn0127,HuaweiTSC,paid annotators
engjpn0128,HuaweiTSC,paid annotators
engjpn0129,HuaweiTSC,paid annotators
engjpn012a,HuaweiTSC,paid annotators
engjpn012b,HuaweiTSC,paid annotators
engjpn012c,HuaweiTSC,paid annotators
engjpn012d,HuaweiTSC,paid annotators
engjpn012e,HuaweiTSC,paid annotators
engjpn012f,HuaweiTSC,paid annotators
engjpn0130,HuaweiTSC,paid annotators
engjpn0131,HuaweiTSC,paid annotators
engjpn0132,HuaweiTSC,paid annotators
engjpn0133,HuaweiTSC,paid annotators
engjpn0134,HuaweiTSC,paid annotators
engjpn0135,HuaweiTSC,paid annotators
engjpn0136,HuaweiTSC,paid annotators
engjpn0137,HuaweiTSC,paid annotators
engjpn0138,HuaweiTSC,paid annotators
engjpn0139,HuaweiTSC,paid annotators
engjpn013a,HuaweiTSC,paid annotators
engjpn013b,HuaweiTSC,paid annotators
engjpn013c,HuaweiTSC,paid annotators
engjpn013d,HuaweiTSC,paid annotators
engjpn013e,HuaweiTSC,paid annotators
engjpn013f,HuaweiTSC,paid annotators
engjpn0140,HuaweiTSC,paid annotators
engjpn0141,HuaweiTSC,paid annotators
engjpn0142,HuaweiTSC,paid annotators
engjpn0143,HuaweiTSC,paid annotators
engjpn0144,HuaweiTSC,paid annotators
engjpn0145,HuaweiTSC,paid annotators
engjpn0146,HuaweiTSC,paid annotators
engjpn0147,HuaweiTSC,paid annotators
engjpn0148,HuaweiTSC,paid annotators
engjpn0149,HuaweiTSC,paid annotators
engjpn014a,HuaweiTSC,paid annotators
engjpn014b,HuaweiTSC,paid annotators
engjpn014c,HuaweiTSC,paid annotators
engjpn014d,HuaweiTSC,paid annotators
engjpn014e,HuaweiTSC,paid annotators
engjpn014f,HuaweiTSC,paid annotators
engjpn0150,HuaweiTSC,paid annotators
engjpn0151,HuaweiTSC,paid annotators
engjpn0152,HuaweiTSC,paid annotators
engjpn0153,HuaweiTSC,paid annotators
engjpn0154,HuaweiTSC,paid annotators
engjpn0155,HuaweiTSC,paid annotators
engjpn0156,HuaweiTSC,paid annotators
engjpn0157,HuaweiTSC,paid annotators
engjpn0158,HuaweiTSC,paid annotators
engjpn0159,Illini,students
engjpn015a,Illini,students
engjpn015b,Illini,students
engjpn015c,Illini,students
engjpn015d,Illini,students
engjpn015e,Illini,students
engjpn015f,Illini,students
engjpn0160,Illini,students
engjpn0161,Illini,students
engjpn0162,Illini,students
engjpn0163,Illini,students
engjpn0164,Illini,students
engjpn0202,Toloka,Toloka crowd
engjpn0204,Toloka,Toloka crowd
engjpn0205,Toloka,Toloka crowd
engjpn0207,Toloka,Toloka crowd
engjpn020a,Toloka,Toloka crowd
engjpn020c,Toloka,Toloka crowd
engjpn020d,Toloka,Toloka crowd
engjpn020f,Toloka,Toloka crowd
engjpn0210,Toloka,Toloka crowd
engjpn0211,Toloka,Toloka crowd
engjpn0213,Toloka,Toloka crowd
engjpn0214,Toloka,Toloka crowd
engjpn0215,Toloka,Toloka crowd
engjpn0216,Toloka,Toloka crowd
engjpn0218,Toloka,Toloka crowd
engjpn0219,Toloka,Toloka crowd
engjpn021a,Toloka,Toloka crowd
engjpn021b,Toloka,Toloka crowd
engjpn021c,Toloka,Toloka crowd
engjpn021d,Toloka,Toloka crowd
engjpn021e,Toloka,Toloka crowd
engjpn0220,Toloka,Toloka crowd
engjpn0221,Toloka,Toloka crowd
engjpn0223,Toloka,Toloka crowd
engjpn0225,Toloka,Toloka crowd
engjpn0226,Toloka,Toloka crowd
engjpn0227,Toloka,Toloka crowd
engjpn0228,Toloka,Toloka crowd
engjpn0229,Toloka,Toloka crowd
engjpn022c,Toloka,Toloka crowd
engjpn022d,Toloka,Toloka crowd
engjpn022f,Toloka,Toloka crowd
engjpn0231,Toloka,Toloka crowd
engjpn0301,eTranslation,linguists
engjpn0305,eTranslation,linguists
engjpn0405,Toloka,Toloka crowd
engjpn040a,Toloka,Toloka crowd
engjpn040c,Toloka,Toloka crowd
engjpn040e,Toloka,Toloka crowd
engjpn0411,Toloka,Toloka crowd
engjpn0412,Toloka,Toloka crowd
engjpn0416,Toloka,Toloka crowd
engjpn041a,Toloka,Toloka crowd
engjpn0420,Toloka,Toloka crowd
engjpn042b,Toloka,Toloka crowd
engjpn042c,Toloka,Toloka crowd
engjpn042f,Toloka,Toloka crowd
engjpn0432,Toloka,Toloka crowd
engjpn6501,Microsoft,Microsoft annotators
engjpn6502,Microsoft,Microsoft annotators
engjpn6503,Microsoft,Microsoft annotators
engjpn6504,Microsoft,Microsoft annotators
engjpn6505,Microsoft,Microsoft annotators
engjpn6506,Microsoft,Microsoft annotators
engjpn6507,Microsoft,Microsoft annotators
engjpn6508,Microsoft,Microsoft annotators
engjpn6509,Microsoft,Microsoft annotators
engjpn650a,Microsoft,Microsoft annotators
engjpn650b,Microsoft,Microsoft annotators
engjpn650c,Microsoft,Microsoft annotators
engjpn650d,Microsoft,Microsoft annotators
engjpn650e,Microsoft,Microsoft annotators
engjpn650f,Microsoft,Microsoft annotators
engjpn6510,Microsoft,Microsoft annotators
engjpn6511,Microsoft,Microsoft annotators
engjpn6512,Microsoft,Microsoft annotators
engjpn6513,Microsoft,Microsoft annotators
engjpn6514,Microsoft,Microsoft annotators
engjpn6515,Microsoft,Microsoft annotators
engjpn6516,Microsoft,Microsoft annotators
engjpn6517,Microsoft,Microsoft annotators
engjpn6518,Microsoft,Microsoft annotators
engjpn6519,Microsoft,Microsoft annotators
engjpn651a,Microsoft,Microsoft annotators
engjpn651b,Microsoft,Microsoft annotators
engjpn651c,Microsoft,Microsoft annotators
engjpn651d,Microsoft,Microsoft annotators
engjpn651e,Microsoft,Microsoft annotators
engjpn651f,Microsoft,Microsoft annotators
engjpn6520,Microsoft,Microsoft annotators
engjpn6521,Microsoft,Microsoft annotators
engjpn6522,Microsoft,Microsoft annotators
engjpn6523,Microsoft,Microsoft annotators
engjpn6524,Microsoft,Microsoft annotators
engjpn6525,Microsoft,Microsoft annotators
engjpn6526,Microsoft,Microsoft annotators
engjpn6527,Microsoft,Microsoft annotators
engjpn6528,Microsoft,Microsoft annotators
engjpn6529,Microsoft,Microsoft annotators
engjpn652a,Microsoft,Microsoft annotators
engjpn652b,Microsoft,Microsoft annotators
engjpn652c,Microsoft,Microsoft annotators
engjpn652d,Microsoft,Microsoft annotators
engjpn652e,Microsoft,Microsoft annotators
engjpn652f,Microsoft,Microsoft annotators
engjpn6530,Microsoft,Microsoft annotators
engjpn6531,Microsoft,Microsoft annotators
engjpn6532,Microsoft,Microsoft annotators
engjpn6533,Microsoft,Microsoft annotators
engjpn6534,Microsoft,Microsoft annotators
engjpn6535,Microsoft,Microsoft annotators
engjpn6536,Microsoft,Microsoft annotators
engjpn6537,Microsoft,Microsoft annotators
engjpn6538,Microsoft,Microsoft annotators
engjpn6539,Microsoft,Microsoft annotators
engjpn653a,Microsoft,Microsoft annotators
engjpn653b,Microsoft,Microsoft annotators
engjpn653c,Microsoft,Microsoft annotators
engjpn653d,Microsoft,Microsoft annotators
engjpn653e,Microsoft,Microsoft annotators
engjpn653f,Microsoft,Microsoft annotators
engjpn6540,Microsoft,Microsoft annotators
engjpn6541,Microsoft,Microsoft annotators
engjpn6542,Microsoft,Microsoft annotators
engjpn6543,Microsoft,Microsoft annotators
engjpn6544,Microsoft,Microsoft annotators
engjpn6545,Microsoft,Microsoft annotators
engjpn6546,Microsoft,Microsoft annotators
engjpn6547,Microsoft,Microsoft annotators
engjpn6548,Microsoft,Microsoft annotators
engjpn6549,Microsoft,Microsoft annotators
engjpn654a,Microsoft,Microsoft annotators
engjpn654b,Microsoft,Microsoft annotators
engjpn654c,Microsoft,Microsoft annotators
engjpn654d,Microsoft,Microsoft annotators
engjpn654e,Microsoft,Microsoft annotators
engjpn654f,Microsoft,Microsoft annotators
engjpn6550,Microsoft,Microsoft annotators
engjpn6551,Microsoft,Microsoft annotators
engjpn6552,Microsoft,Microsoft annotators
engjpn6553,Microsoft,Microsoft annotators
engjpn6554,Microsoft,Microsoft annotators
engjpn6555,Microsoft,Microsoft annotators
engjpn6556,Microsoft,Microsoft annotators
engjpn6557,Microsoft,Microsoft annotators
engjpn6558,Microsoft,Microsoft annotators
engjpn6559,Microsoft,Microsoft annotators
engjpn655a,Microsoft,Microsoft annotators
engjpn655b,Microsoft,Microsoft annotators
engjpn655c,Microsoft,Microsoft annotators
engjpn655d,Microsoft,Microsoft annotators
engjpn655e,Microsoft,Microsoft annotators
engjpn655f,Microsoft,Microsoft annotators
engjpn6560,Microsoft,Microsoft annotators
engjpn6561,Microsoft,Microsoft annotators
engjpn6562,Microsoft,Microsoft annotators
engjpn6563,Microsoft,Microsoft annotators
engjpn6564,Microsoft,Microsoft annotators
engrus0101,AFRL,researchers
engrus0102,AFRL,researchers
engrus0103,talp_upc,researchers
engrus0104,talp_upc,researchers
engrus010f,uedin,linguists
engrus0110,uedin,linguists
engrus0111,uedin,linguists
engrus0112,uedin,linguists
engrus0113,uedin,linguists
engrus0114,uedin,linguists
engrus0115,uedin,linguists
engrus0116,uedin,linguists
engrus0117,uedin,linguists
engrus0118,uedin,linguists
engrus0119,uedin,linguists
engrus011a,uedin,linguists
engrus011b,NeMo,researchers
engrus011c,NeMo,researchers
engrus011d,NeMo,researchers
engrus011e,NeMo,researchers
engrus011f,NeMo,researchers
engrus0120,NeMo,researchers
engrus0121,NeMo,researchers
engrus0122,NeMo,researchers
engrus0123,NeMo,researchers
engrus0124,NeMo,researchers
engrus0125,NeMo,researchers
engrus0126,NeMo,researchers
engrus0127,NeMo,researchers
engrus0128,NeMo,researchers
engrus0129,NeMo,researchers
engrus012a,NeMo,researchers
engrus012b,NeMo,researchers
engrus012c,NeMo,researchers
engrus012d,NeMo,researchers
engrus012e,NeMo,researchers
engrus012f,NeMo,researchers
engrus0130,NeMo,researchers
engrus0131,NeMo,researchers
engrus0132,NeMo,researchers
engrus0202,Toloka,Toloka crowd
engrus0203,Toloka,Toloka crowd
engrus0204,Toloka,Toloka crowd
engrus0205,Toloka,Toloka crowd
engrus0206,Toloka,Toloka crowd
engrus0207,Toloka,Toloka crowd
engrus0208,Toloka,Toloka crowd
engrus0209,Toloka,Toloka crowd
engrus020a,Toloka,Toloka crowd
engrus020b,Toloka,Toloka crowd
engrus020d,Toloka,Toloka crowd
engrus020e,Toloka,Toloka crowd
engrus0210,Toloka,Toloka crowd
engrus0211,Toloka,Toloka crowd
engrus0213,Toloka,Toloka crowd
engrus0215,Toloka,Toloka crowd
engrus0216,Toloka,Toloka crowd
engrus0217,Toloka,Toloka crowd
engrus0218,Toloka,Toloka crowd
engrus0219,Toloka,Toloka crowd
engrus021a,Toloka,Toloka crowd
engrus021c,Toloka,Toloka crowd
engrus021d,Toloka,Toloka crowd
engrus021e,Toloka,Toloka crowd
engrus021f,Toloka,Toloka crowd
engrus0220,Toloka,Toloka crowd
engrus0224,Toloka,Toloka crowd
engrus0225,Toloka,Toloka crowd
engrus0226,Toloka,Toloka crowd
engrus0227,Toloka,Toloka crowd
engrus022a,Toloka,Toloka crowd
engrus022c,Toloka,Toloka crowd
engrus022d,Toloka,Toloka crowd
engrus022e,Toloka,Toloka crowd
engrus022f,Toloka,Toloka crowd
engrus0230,Toloka,Toloka crowd
engrus0232,Toloka,Toloka crowd
engrus0301,Allegro,researchers
engrus0302,Allegro,researchers
engrus0303,Allegro,researchers
engrus0304,Allegro,researchers
engrus0305,Allegro,researchers
engrus0306,Allegro,researchers
engrus0307,Allegro,researchers
engrus0308,Allegro,researchers
engrus0309,Allegro,researchers
engrus030a,Allegro,researchers
engrus030b,Allegro,researchers
engrus030c,Allegro,researchers
engrus030d,eTranslation,linguists
engrus030e,eTranslation,linguists
engrus030f,eTranslation,linguists
engrus0310,eTranslation,linguists
engrus0401,Toloka,Toloka crowd
engrus0403,Toloka,Toloka crowd
engrus0404,Toloka,Toloka crowd
engrus0406,Toloka,Toloka crowd
engrus0408,Toloka,Toloka crowd
engrus0409,Toloka,Toloka crowd
engrus040a,Toloka,Toloka crowd
engrus040c,Toloka,Toloka crowd
engrus040d,Toloka,Toloka crowd
engrus040f,Toloka,Toloka crowd
engrus0411,Toloka,Toloka crowd
engrus0415,Toloka,Toloka crowd
engrus0417,Toloka,Toloka crowd
engrus0418,Toloka,Toloka crowd
engrus0419,Toloka,Toloka crowd
engrus041a,Toloka,Toloka crowd
engrus041b,Toloka,Toloka crowd
engrus041c,Toloka,Toloka crowd
engrus041d,Toloka,Toloka crowd
engrus041e,Toloka,Toloka crowd
engrus0421,Toloka,Toloka crowd
engrus0422,Toloka,Toloka crowd
engrus0423,Toloka,Toloka crowd
engrus0425,Toloka,Toloka crowd
engrus0428,Toloka,Toloka crowd
engrus042c,Toloka,Toloka crowd
engrus042e,Toloka,Toloka crowd
engrus0430,Toloka,Toloka crowd
engrus0431,Toloka,Toloka crowd
engrus0432,Toloka,Toloka crowd
engrus6501,Microsoft,Microsoft annotators
engrus6502,Microsoft,Microsoft annotators
engrus6503,Microsoft,Microsoft annotators
engrus6504,Microsoft,Microsoft annotators
engrus6505,Microsoft,Microsoft annotators
engrus6506,Microsoft,Microsoft annotators
engrus6507,Microsoft,Microsoft annotators
engrus6508,Microsoft,Microsoft annotators
engrus6509,Microsoft,Microsoft annotators
engrus650a,Microsoft,Microsoft annotators
engrus650b,Microsoft,Microsoft annotators
engrus650c,Microsoft,Microsoft annotators
engrus650d,Microsoft,Microsoft annotators
engrus650e,Microsoft,Microsoft annotators
engrus650f,Microsoft,Microsoft annotators
engrus6510,Microsoft,Microsoft annotators
engrus6511,Microsoft,Microsoft annotators
engrus6512,Microsoft,Microsoft annotators
engrus6513,Microsoft,Microsoft annotators
engrus6514,Microsoft,Microsoft annotators
engrus6515,Microsoft,Microsoft annotators
engrus6516,Microsoft,Microsoft annotators
engrus6517,Microsoft,Microsoft annotators
engrus6518,Microsoft,Microsoft annotators
engrus6519,Microsoft,Microsoft annotators
engrus651a,Microsoft,Microsoft annotators
engrus651b,Microsoft,Microsoft annotators
engrus651c,Microsoft,Microsoft annotators
engrus651d,Microsoft,Microsoft annotators
engrus651e,Microsoft,Microsoft annotators
engrus651f,Microsoft,Microsoft annotators
engrus6520,Microsoft,Microsoft annotators
engrus6521,Microsoft,Microsoft annotators
engrus6522,Microsoft,Microsoft annotators
engrus6523,Microsoft,Microsoft annotators
engrus6524,Microsoft,Microsoft annotators
engrus6525,Microsoft,Microsoft annotators
engrus6526,Microsoft,Microsoft annotators
engrus6527,Microsoft,Microsoft annotators
engrus6528,Microsoft,Microsoft annotators
engrus6529,Microsoft,Microsoft annotators
engrus652a,Microsoft,Microsoft annotators
engrus652b,Microsoft,Microsoft annotators
engrus652c,Microsoft,Microsoft annotators
engrus652d,Microsoft,Microsoft annotators
engrus652e,Microsoft,Microsoft annotators
engrus652f,Microsoft,Microsoft annotators
engrus6530,Microsoft,Microsoft annotators
engrus6531,Microsoft,Microsoft annotators
engrus6532,Microsoft,Microsoft annotators
engzho0101,AFRL,researchers
engzho0102,uedin,linguists
engzho0103,uedin,linguists
engzho0104,uedin,linguists
engzho0105,uedin,linguists
engzho0106,uedin,linguists
engzho0107,uedin,linguists
engzho0108,uedin,linguists
engzho0109,uedin,linguists
engzho010a,uedin,linguists
engzho010b,uedin,linguists
engzho010c,uedin,linguists
engzho010e,LISN,students
engzho010f,LISN,students
engzho0110,LISN,students
engzho0111,LISN,students
engzho0112,LISN,students
engzho0113,LISN,students
engzho0114,ZengHuiMT ,researchers
engzho0115,ZengHuiMT ,researchers
engzho0116,ZengHuiMT ,researchers
engzho0117,ZengHuiMT ,researchers
engzho0118,ZengHuiMT ,researchers
engzho0119,ZengHuiMT ,researchers
engzho011a,ZengHuiMT ,researchers
engzho011b,ZengHuiMT ,researchers
engzho011c,ZengHuiMT ,researchers
engzho011d,ZengHuiMT ,researchers
engzho011e,ZengHuiMT ,researchers
engzho011f,ZengHuiMT ,researchers
engzho0120,Vtrans,researchers
engzho0121,Vtrans,researchers
engzho0122,Vtrans,researchers
engzho0123,Vtrans,researchers
engzho0124,Vtrans,researchers
engzho0125,Vtrans,researchers
engzho0126,Vtrans,researchers
engzho0127,Vtrans,researchers
engzho0128,Vtrans,researchers
engzho0129,Vtrans,researchers
engzho012a,Vtrans,researchers
engzho012b,Vtrans,researchers
engzho012c,Vtrans-NAT,researchers
engzho012d,Vtrans-NAT,researchers
engzho012e,Vtrans-NAT,researchers
engzho012f,Vtrans-NAT,researchers
engzho0130,Vtrans-NAT,researchers
engzho0131,Vtrans-NAT,researchers
engzho0132,Vtrans-NAT,researchers
engzho0133,Vtrans-NAT,researchers
engzho0134,Vtrans-NAT,researchers
engzho0135,Vtrans-NAT,researchers
engzho0136,Vtrans-NAT,researchers
engzho0137,Vtrans-NAT,researchers
engzho0144,MiSS,researchers
engzho0145,MiSS,researchers
engzho0146,MiSS,researchers
engzho0147,MiSS,researchers
engzho0148,MiSS,researchers
engzho0149,MiSS,researchers
engzho014a,MiSS,researchers
engzho014b,MiSS,researchers
engzho014c,HuaweiTSC,paid annotators
engzho014d,HuaweiTSC,paid annotators
engzho014e,HuaweiTSC,paid annotators
engzho014f,HuaweiTSC,paid annotators
engzho0150,HuaweiTSC,paid annotators
engzho0151,HuaweiTSC,paid annotators
engzho0152,HuaweiTSC,paid annotators
engzho0153,HuaweiTSC,paid annotators
engzho0154,HuaweiTSC,paid annotators
engzho0155,HuaweiTSC,paid annotators
engzho0156,HuaweiTSC,paid annotators
engzho0157,HuaweiTSC,paid annotators
engzho0158,HuaweiTSC,paid annotators
engzho0159,HuaweiTSC,paid annotators
engzho015a,HuaweiTSC,paid annotators
engzho015b,HuaweiTSC,paid annotators
engzho015c,HuaweiTSC,paid annotators
engzho015d,HuaweiTSC,paid annotators
engzho015e,HuaweiTSC,paid annotators
engzho015f,HuaweiTSC,paid annotators
engzho0160,HuaweiTSC,paid annotators
engzho0161,HuaweiTSC,paid annotators
engzho0162,HuaweiTSC,paid annotators
engzho0163,HuaweiTSC,paid annotators
engzho0165,Manifold,paid annotators
engzho0166,Manifold,paid annotators
engzho0167,Manifold,paid annotators
engzho0168,Manifold,paid annotators
engzho0169,Manifold,paid annotators
engzho016a,Manifold,paid annotators
engzho016b,Manifold,paid annotators
engzho016c,Manifold,paid annotators
engzho016d,Manifold,paid annotators
engzho016e,Manifold,paid annotators
engzho016f,Manifold,paid annotators
engzho0170,Manifold,paid annotators
engzho0171,Manifold,paid annotators
engzho0172,Manifold,paid annotators
engzho0173,Manifold,paid annotators
engzho0174,Manifold,paid annotators
engzho0175,Manifold,paid annotators
engzho0176,Manifold,paid annotators
engzho0177,Manifold,paid annotators
engzho0178,Manifold,paid annotators
engzho0179,Manifold,paid annotators
engzho017a,Manifold,paid annotators
engzho017b,Manifold,paid annotators
engzho017c,Manifold,paid annotators
engzho017d,Manifold,paid annotators
engzho017e,Manifold,paid annotators
engzho017f,Manifold,paid annotators
engzho0180,Manifold,paid annotators
engzho0181,Manifold,paid annotators
engzho0182,Manifold,paid annotators
engzho0183,Manifold,paid annotators
engzho0184,Manifold,paid annotators
engzho0185,Manifold,paid annotators
engzho0186,Manifold,paid annotators
engzho0187,Manifold,paid annotators
engzho0188,Manifold,paid annotators
engzho0189,Manifold,paid annotators
engzho018a,Manifold,paid annotators
engzho018b,Manifold,paid annotators
engzho018c,wechatai,researchers
engzho018d,wechatai,researchers
engzho018e,wechatai,researchers
engzho018f,wechatai,researchers
engzho0190,wechatai,researchers
engzho0191,wechatai,researchers
engzho0192,wechatai,researchers
engzho0193,wechatai,researchers
engzho0194,wechatai,researchers
engzho0195,wechatai,researchers
engzho0196,wechatai,researchers
engzho0203,Toloka,Toloka crowd
engzho0204,Toloka,Toloka crowd
engzho0205,Toloka,Toloka crowd
engzho0206,Toloka,Toloka crowd
engzho0207,Toloka,Toloka crowd
engzho0209,Toloka,Toloka crowd
engzho020a,Toloka,Toloka crowd
engzho020b,Toloka,Toloka crowd
engzho020c,Toloka,Toloka crowd
engzho020e,Toloka,Toloka crowd
engzho020f,Toloka,Toloka crowd
engzho0212,Toloka,Toloka crowd
engzho0214,Toloka,Toloka crowd
engzho0217,Toloka,Toloka crowd
engzho0218,Toloka,Toloka crowd
engzho0219,Toloka,Toloka crowd
engzho021a,Toloka,Toloka crowd
engzho021b,Toloka,Toloka crowd
engzho021c,Toloka,Toloka crowd
engzho021d,Toloka,Toloka crowd
engzho021e,Toloka,Toloka crowd
engzho0222,Toloka,Toloka crowd
engzho0223,Toloka,Toloka crowd
engzho0225,Toloka,Toloka crowd
engzho0228,Toloka,Toloka crowd
engzho0229,Toloka,Toloka crowd
engzho022d,Toloka,Toloka crowd
engzho022e,Toloka,Toloka crowd
engzho0231,Toloka,Toloka crowd
engzho0232,Toloka,Toloka crowd
engzho0301,wechatai,researchers
engzho0302,wechatai,researchers
engzho0303,wechatai,researchers
engzho0304,wechatai,researchers
engzho0305,wechatai,researchers
engzho0306,wechatai,researchers
engzho0307,wechatai,researchers
engzho0308,wechatai,researchers
engzho0309,wechatai,researchers
engzho030a,wechatai,researchers
engzho030b,wechatai,researchers
engzho030c,wechatai,researchers
engzho030d,wechatai,researchers
engzho030e,GTCOM,paid annotators
engzho030f,GTCOM,paid annotators
engzho0310,GTCOM,paid annotators
engzho0311,GTCOM,paid annotators
engzho0312,GTCOM,paid annotators
engzho0313,GTCOM,paid annotators
engzho0314,GTCOM,paid annotators
engzho0315,GTCOM,paid annotators
engzho0316,GTCOM,paid annotators
engzho0317,GTCOM,paid annotators
engzho0318,GTCOM,paid annotators
engzho0319,GTCOM,paid annotators
engzho031a,GTCOM,paid annotators
engzho031b,GTCOM,paid annotators
engzho031d,GTCOM,paid annotators
engzho0320,GTCOM,paid annotators
engzho0321,GTCOM,paid annotators
engzho0322,GTCOM,paid annotators
engzho0324,GTCOM,paid annotators
engzho0325,GTCOM,paid annotators
engzho0327,GTCOM,paid annotators
engzho0329,GTCOM,paid annotators
engzho032b,GTCOM,paid annotators
engzho032d,GTCOM,paid annotators
engzho032e,GTCOM,paid annotators
engzho0330,GTCOM,paid annotators
engzho0331,GTCOM,paid annotators
engzho0332,P3AI ,researchers
engzho0333,P3AI ,researchers
engzho0334,P3AI ,researchers
engzho0335,P3AI ,researchers
engzho0336,P3AI ,researchers
engzho0337,P3AI ,researchers
engzho0361,P3AI ,researchers
engzho0363,NiuTrans,students
engzho0364,NiuTrans,students
engzho0365,NiuTrans,students
engzho0366,NiuTrans,students
engzho0367,NiuTrans,students
engzho0368,NiuTrans,students
engzho0369,NiuTrans,students
engzho036a,NiuTrans,students
engzho036b,NiuTrans,students
engzho036c,NiuTrans,students
engzho036d,NiuTrans,students
engzho036e,NiuTrans,students
engzho036f,NiuTrans,students
engzho0370,NiuTrans,students
engzho0371,NiuTrans,students
engzho0372,NiuTrans,students
engzho0373,NiuTrans,students
engzho0374,NiuTrans,students
engzho0375,NiuTrans,students
engzho0376,NiuTrans,students
engzho0377,NiuTrans,students
engzho0378,NiuTrans,students
engzho0379,NiuTrans,students
engzho037a,NiuTrans,students
engzho037b,NiuTrans,students
engzho037c,NiuTrans,students
engzho037d,NiuTrans,students
engzho037e,NiuTrans,students
engzho037f,NiuTrans,students
engzho0383,NiuTrans,students
engzho0384,NiuTrans,students
engzho0385,NiuTrans,students
engzho0386,NiuTrans,students
engzho0387,NiuTrans,students
engzho0388,NiuTrans,students
engzho0389,NiuTrans,students
engzho038a,NiuTrans,students
engzho038b,NiuTrans,students
engzho038c,NiuTrans,students
engzho038d,NiuTrans,students
engzho038e,NiuTrans,students
engzho038f,NiuTrans,students
engzho0390,NiuTrans,students
engzho0391,NiuTrans,students
engzho0392,NiuTrans,students
engzho0393,NiuTrans,students
engzho0394,NiuTrans,students
engzho0395,NiuTrans,students
engzho0396,NiuTrans,students
engzho0397,NiuTrans,students
engzho0398,NiuTrans,students
engzho0399,NiuTrans,students
engzho039a,NiuTrans,students
engzho039b,NiuTrans,students
engzho039c,NiuTrans,students
engzho039d,NiuTrans,students
engzho039e,DiDi NLP,students
engzho039f,DiDi NLP,students
engzho03a0,DiDi NLP,students
engzho03a1,DiDi NLP,students
engzho03a2,DiDi NLP,students
engzho03a3,DiDi NLP,students
engzho03a4,wmt21_team_zero,students
engzho03a5,wmt21_team_zero,students
engzho03a6,wmt21_team_zero,students
engzho03a7,wmt21_team_zero,students
engzho03a8,wmt21_team_zero,students
engzho03a9,wmt21_team_zero,students
engzho03aa,wmt21_team_zero,students
engzho03ab,wmt21_team_zero,students
engzho03ac,wmt21_team_zero,students
engzho03ad,wmt21_team_zero,students
engzho03ae,wmt21_team_zero,students
engzho03af,wmt21_team_zero,students
engzho0403,Toloka,Toloka crowd
engzho0405,Toloka,Toloka crowd
engzho0406,Toloka,Toloka crowd
engzho040c,Toloka,Toloka crowd
engzho040d,Toloka,Toloka crowd
engzho040f,Toloka,Toloka crowd
engzho0414,Toloka,Toloka crowd
engzho0417,Toloka,Toloka crowd
engzho0418,Toloka,Toloka crowd
engzho041b,Toloka,Toloka crowd
engzho041e,Toloka,Toloka crowd
engzho041f,Toloka,Toloka crowd
engzho0422,Toloka,Toloka crowd
engzho0423,Toloka,Toloka crowd
engzho0425,Toloka,Toloka crowd
engzho0426,Toloka,Toloka crowd
engzho0427,Toloka,Toloka crowd
engzho042b,Toloka,Toloka crowd
engzho042c,Toloka,Toloka crowd
engzho042d,Toloka,Toloka crowd
engzho0431,Toloka,Toloka crowd
engzho0432,Toloka,Toloka crowd
engzho6501,Microsoft,Microsoft annotators
engzho6502,Microsoft,Microsoft annotators
engzho6503,Microsoft,Microsoft annotators
engzho6504,Microsoft,Microsoft annotators
engzho6505,Microsoft,Microsoft annotators
engzho6506,Microsoft,Microsoft annotators
engzho6507,Microsoft,Microsoft annotators
engzho6508,Microsoft,Microsoft annotators
engzho6509,Microsoft,Microsoft annotators
engzho650a,Microsoft,Microsoft annotators
engzho650b,Microsoft,Microsoft annotators
engzho650c,Microsoft,Microsoft annotators
engzho650d,Microsoft,Microsoft annotators
engzho650e,Microsoft,Microsoft annotators
engzho650f,Microsoft,Microsoft annotators
engzho6510,Microsoft,Microsoft annotators
engzho6511,Microsoft,Microsoft annotators
engzho6512,Microsoft,Microsoft annotators
engzho6513,Microsoft,Microsoft annotators
engzho6514,Microsoft,Microsoft annotators
engzho6515,Microsoft,Microsoft annotators
engzho6516,Microsoft,Microsoft annotators
engzho6517,Microsoft,Microsoft annotators
engzho6518,Microsoft,Microsoft annotators
engzho6519,Microsoft,Microsoft annotators
engzho651a,Microsoft,Microsoft annotators
engzho651b,Microsoft,Microsoft annotators
engzho651c,Microsoft,Microsoft annotators
engzho651d,Microsoft,Microsoft annotators
engzho651e,Microsoft,Microsoft annotators
engzho651f,Microsoft,Microsoft annotators
engzho6520,Microsoft,Microsoft annotators
engzho6521,Microsoft,Microsoft annotators
engzho6522,Microsoft,Microsoft annotators
engzho6523,Microsoft,Microsoft annotators
engzho6524,Microsoft,Microsoft annotators
engzho6525,Microsoft,Microsoft annotators
engzho6526,Microsoft,Microsoft annotators
engzho6527,Microsoft,Microsoft annotators
engzho6528,Microsoft,Microsoft annotators
