wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
M1184 1 73 71.8 73.1 313 313 1 1 6 1 flag(scrs) - - - 
M0338 16 70 69.8 72.5 909 2312.7 1.8 3 2 0 flag(scrs) - - - 
M0094 2 74.1 73.9 75.3 371 642 1 1 4 0 flag(scrs) - - - 
M0685 4 84.9 87.8 81.3 916 1589.8 1 1 4 0 - - - - 
M0191 8 85.3 86.1 87.7 446 1073.8 1 1 5 0 - - - - 
M0102 28 73.8 79 88.5 66.9 706.7 10.2 14 3 0 - flag(time) - - 
M0266 1 0 53.3 79.7 2171 2171 1 1 5 0 - - - - 
M0569 1 92.1 89.5 92.2 354 354 1 1 3 0 flag(scrs) - - - 
M1533 1 82.6 72.9 82.3 1687 1687 1 1 2 0 flag(scrs) - - - 
M1620 1 65.4 65.1 71.8 1218 1218 1 1 2 0 flag(scrs) - - - 
M0613 20 33.5 33.2 83.8 105.9 825.2 4.8 9 3 0.5 flag(scrs) flag(time) - - 
M1225 1 92.8 90.6 93.2 1227 1227 1 1 2 0 flag(scrs) - - - 
M0629 4 57.3 55.2 51.4 338 1189.8 1 1 2 0 flag(scrs) - - - 
M1022 1 68.6 59 60.4 613 613 1 1 0 0 flag(scrs) - - - 
M0525 1 82.5 76 84.6 1643 1643 1 1 2 0 flag(scrs) - - - 
M1559 1 24.6 60.6 97 1108 1108 1 1 0 0 - - - - 
M1619 1 87.9 83 74.6 995 995 1 1 4 1 flag(scrs) - - - 
M0526 1 44.4 78.6 95.5 1058 1058 1 1 2 0 - - - - 
M0694 2 77.2 72.3 86.1 4247 5422.5 1 1 2 0.5 flag(scrs) - - - 
M1509 2 29.6 93.9 100 468.5 498 2 2 19 0 - - flag(seq) - 
M1404 1 58.1 82.9 100 985 985 1 1 4 0 - - - - 
M0947 4 14.8 17 100 658 964.4 1.5 2 3 0 - - - - 
M1356 1 67.3 65.1 67.3 274 274 1 1 2 1 flag(scrs) flag(time) - - 
M0231 1 48.2 71.1 99.1 895 895 1 1 3 0 - - - - 
M0557 1 32.3 53.2 92.4 1965 1965 1 1 2 0 - - - - 
M1639 2 9.8 78 99.3 2188 2598 1 1 6 0 - - - - 
M1429 1 21.2 57 99.8 3054 3054 1 1 12 0 - - flag(seq) - 
M1125 3 68.9 71.2 64.7 720 998.3 1 1 2 0 - - - - 
M0454 1 92.3 90.1 99.9 1852 1852 1 1 4 0 flag(scrs) - - - 
M0032 7 77.4 77.7 77.5 562 2296.9 1 1 3 0 - - - - 
M0111 1 61 39.6 40.9 943 943 1 1 2 1 flag(scrs) - - - 
M1607 3 75.9 75.6 79.7 363 673 1 1 2 0 flag(scrs) - - - 
M1605 3 56.6 65.1 72.2 223.5 967.3 1.7 2 3 0 - flag(time) - - 
M0703 1 36 82.4 100 2726 2726 1 1 8 0 - - - - 
M0950 3 69.4 73.9 77.5 913 3392.3 1 1 2 0 - - - - 
M1061 3 82.5 81.1 83 1030 1571.8 1.7 2 6 0.33 flag(scrs) - - - 
M0650 2 61.8 69.5 70.1 2030 3549.5 1 1 2 0 - - - - 
M0211 1 96.5 90.1 96.9 5325 5325 1 1 2 0 flag(scrs) - - - 
M0481 6 58.7 57.6 55 644 1415 1.3 2 2 0.17 flag(scrs) - - - 
M1100 1 45.8 84 NaN 1588 1588 1 1 4 0 - - - - 
M0364 3 53.4 80.6 90.6 1001.5 1823.5 1.7 2 11 0 - - flag(seq) - 
M1016 1 5 79.6 100 1444 1444 1 1 5 0 - - - - 
M1578 3 45.1 79.6 93.3 2346 2549 1 1 5 0 - - - - 
M0816 3 72.1 69.8 69.8 1221 2914.3 1 1 2 0 flag(scrs) - - - 
M0876 1 35.5 40.3 91.5 705 705 1 1 3 0 - - - - 
M1131 1 70 68.6 100 2135 2135 1 1 2 0 flag(scrs) - - - 
M0079 1 9.8 62.7 85.9 4400 4400 1 1 6 0 - - - - 
M0336 1 37.4 77.7 100 4393 4393 1 1 3 0 - - - - 
M0080 4 92.1 88.9 91.7 1604.7 1823 2.2 3 3 0 flag(scrs) - - - 
M0220 1 84.4 82.6 99.7 413 413 1 1 2 0 flag(scrs) - - - 
M0743 2 18.8 40.4 81.8 789 1082.5 1 1 2 0 - - - - 
M1328 1 81.3 91.3 90.8 3647 3647 1 1 3 0 - - - - 
M0879 1 40.6 67.2 100 1751 1751 1 1 3 0 - - - - 
M0475 1 59.8 85.6 99.4 2630 2630 1 1 3 0 - - - - 
M0243 1 6.3 0.8 0 290 290 1 1 55 0 flag(scrs) flag(time) flag(seq) - 
M0297 1 31.8 1.6 9.3 218 218 1 1 69 0 flag(scrs) flag(time) flag(seq) - 
M0713 2 91.3 90.7 83.9 372 675.5 1 1 5 1 flag(scrs) - - - 
M0967 1 48 51.3 42.6 374 374 1 1 2 0 - - - - 
M1218 1 47.4 46.1 55.5 1225 1225 1 1 2 0 flag(scrs) - - - 
M0794 1 85.4 89 97.1 530 530 1 1 2 0 - - - - 
M0977 12 61.5 63.3 90.3 259.6 971.5 2.6 5 3 0 - flag(time) - - 
M1079 1 88 74.2 90.4 1342 1342 1 1 2 0 flag(scrs) - - - 
M0121 1 82.6 80.2 85 1879 1879 1 1 4 0 flag(scrs) - - - 
M1046 5 64.3 82.2 99.1 1440 3885.4 1 1 3 0 - - - - 
M1433 1 27.8 77.7 100 2612 2612 1 1 3 0 - - - - 
M0399 1 39.5 38.8 47.1 1272 1272 1 1 2 1 flag(scrs) - - - 
M0287 1 41.7 52.6 74.5 1470 1470 1 1 2 0 - - - - 
M0565 1 77.6 78.2 81.3 2144 2144 1 1 3 0 - - - - 
M0337 1 69.5 74.6 94.2 5677 5677 1 1 2 0 - - - - 
M1581 4 89.4 93.5 99.1 2834 4066.2 1 1 5 0 - - - - 
M0074 1 49.5 68.9 94.4 985 985 1 1 2 0 - - - - 
M1257 3 73.4 76.3 77 284 608.3 1 1 3 0.67 - flag(time) - - 
M1507 3 98.7 98.2 98.9 501.5 983.7 1.7 2 9 0 flag(scrs) - - - 
M1512 1 5.8 12.4 7.6 2106 2106 1 1 45 0 - - flag(seq) - 
M1534 8 89.6 91 91.6 379 447 1 1 4 0 - - - - 
M1306 1 73.5 74.9 82.2 1059 1059 1 1 4 0 - - - - 
M0799 20 72.2 75.6 95.8 218 835.4 7.8 11 6 0 - flag(time) - - 
M0692 1 50 85.1 100 4132 4132 1 1 3 0 - - - - 
M0056 4 60.4 78.1 99 3480 3951.8 1 1 2 0 - - - - 
M0334 1 5.6 64.9 99.9 1553 1553 1 1 6 0 - - - - 
M1590 1 8.6 82.9 100 1880 1880 1 1 7 0 - - - - 
M0837 1 49.2 60.1 56.8 561 561 1 1 3 0 - - - - 
M0648 1 57.1 61.1 58.5 1207 1207 1 1 2 0 - - - - 
M0084 1 24.5 78.2 99.8 2084 2084 1 1 4 0 - - - - 
M0646 5 60.7 57.4 60.3 145.5 461.9 1.8 2 2 0 flag(scrs) flag(time) - - 
M1551 1 94.4 92.6 94.4 1237 1237 1 1 4 0 flag(scrs) - - - 
M0773 4 54.7 62.5 61.1 76.2 331.6 3.5 4 3 0 - flag(time) - - 
M1049 1 0 0 0 121 121 1 1 82 0 flag(scrs) flag(time) flag(seq) - 
M0104 1 56.6 53 55.3 4113 4113 1 1 2 0 flag(scrs) - - - 
M0628 2 88.5 87.2 90.5 666 1157 1 1 3 0 flag(scrs) - - - 
M1231 1 27.2 70.8 99.7 1996 1996 1 1 2 0 - - - - 
M0770 1 62.4 94.9 99.8 2489 2489 1 1 6 0 - - - - 
M0288 16 58.5 60.4 88.9 187 2410.6 1.2 2 8 0 - flag(time) - - 
M0206 14 95.5 98.2 95.3 100 1116.5 1.4 2 43 0.43 - flag(time) flag(seq) - 
M1393 1 93 83.2 83.9 1920 1920 1 1 0 0 flag(scrs) - - - 
M0722 1 55.7 62.6 66.2 479 479 1 1 2 0 - - - - 
M0851 2 80.6 78.2 88.3 1175 2797 1 1 2 0 flag(scrs) - - - 
M0345 1 47.3 69.3 58.7 507 507 1 1 2 0 - - - - 
M0036 9 52.9 63.1 91.8 2608 4901.4 1 1 3 0 - - - - 
M0932 1 0 0 0 434 434 1 1 83 0 flag(scrs) - flag(seq) - 
M0861 2 88.9 55.4 93.8 685 1009.8 2 2 46 0 flag(scrs) - flag(seq) - 
M0734 1 77 73 80.2 338 338 1 1 2 0 flag(scrs) - - - 
M1036 1 0 0 0 439 439 1 1 82 0 flag(scrs) - flag(seq) - 
M0037 1 31.8 47.3 98.9 767 767 1 1 2 0 - - - - 
M0955 4 73.2 77.4 98.1 1028 2785.5 1 1 4 0 - - - - 
M0974 4 45.6 54.8 51.5 1236 2669.2 1 1 55 0.25 - - flag(seq) - 
M0803 1 12.6 46.7 29.7 816 816 1 1 2 0 - - - - 
M1066 3 88.2 88.8 85.1 539 706 1 1 4 0 - - - - 
M1199 1 73.9 83.2 99.6 1057 1057 1 1 2 0 - - - - 
M1672 6 71.4 71.1 72.5 312.5 1377.2 1.3 2 2 0.33 flag(scrs) - - - 
M1155 2 44.4 77.4 95.9 664 966 1 1 5 0 - - - - 
M0489 1 67.8 68.3 89.1 1981 1981 1 1 3 0 - - - - 
M1480 4 50.8 67.6 90.6 1644 3550.2 1 1 3 0 - - - - 
M1249 1 44.8 82 100 782 782 1 1 10 0 - - - - 
M0109 17 70.7 72 71.5 1054 3581.6 1 1 2 0 - - - - 
M0857 1 96.3 96.7 96.4 350 350 1 1 4 0 - - - - 
M0762 1 0 0 0 862 862 1 1 78 0 flag(scrs) - flag(seq) - 
M0653 1 79.1 77.9 82.3 489 489 1 1 2 0 flag(scrs) - - - 
M0710 1 68.6 87.7 79.8 2326 2326 1 1 4 0 - - - - 
M1153 1 22.3 62.4 93.1 1406 1406 1 1 2 0 - - - - 
M0600 3 66.1 75.6 94 1852 3902.3 1 1 3 0 - - - - 
M1127 1 29.5 84.7 99 1247 1247 1 1 2 0 - - - - 
M1064 2 88.1 88.8 88.4 2079 2519.5 1 1 8 0 - - - - 
M0849 6 76.5 75.2 92.1 2679 4395.8 1 1 6 0 flag(scrs) - - - 
M1610 1 75.4 72.1 78.9 1454 1454 1 1 0 0 flag(scrs) - - - 
M0230 2 70.3 95.6 99.3 1140 1179 1 1 9 0 - - - - 
M0269 1 81.3 78.1 83.1 1311 1311 1 1 3 0 flag(scrs) - - - 
M1274 1 92.1 89.3 90.1 470 470 1 1 2 1 flag(scrs) - - - 
M1229 2 60.3 82.8 95.9 2127 3095 1 1 3 0 - - - - 
M1000 11 56.1 66.2 76.9 122.8 783 2.8 4 4 0.18 - flag(time) - - 
M1333 1 71.9 82.5 87.2 578 578 1 1 3 0 - - - - 
M0757 3 30.5 83.3 99.1 1252 1763.3 1 1 5 0 - - - - 
M0785 3 75.1 73.7 77.9 316 555.7 1 1 3 0 flag(scrs) - - - 
M0889 1 43.8 83.5 99.8 1050 1050 1 1 5 0 - - - - 
M0519 5 75.1 74.5 74.8 405 2277.8 1 1 4 0.2 flag(scrs) - - - 
M0450 4 52.2 75.6 68.2 3093 4596.5 1 1 3 0 - - - - 
M0070 1 81.6 77 99.8 5096 5096 1 1 3 0 flag(scrs) - - - 
M0458 1 3.8 68.6 100 2052 2052 1 1 7 0 - - - - 
M1037 1 50.1 49.1 52.3 380 380 1 1 2 0 flag(scrs) - - - 
M0667 2 64.8 84 71.9 586 662.5 1 1 11 0 - - flag(seq) - 
M1681 2 34.9 87.3 100 846 926 1 1 8 0 - - - - 
M0403 1 77.5 76.2 80.5 192 192 1 1 2 0 flag(scrs) flag(time) - - 
M1500 2 91.7 86.9 88 278.5 413.5 2 2 10 0 flag(scrs) flag(time) - - 
M1196 1 87 83.5 75.4 918 918 1 1 2 1 flag(scrs) - - - 
M1587 1 56.3 63.8 66.3 5357 5357 1 1 2 0 - - - - 
M0842 8 68.9 75.4 73.7 479.5 1397.1 1.1 2 3 0 - - - - 
M0244 1 0 0 0 158 158 1 1 83 0 flag(scrs) flag(time) flag(seq) - 
M1679 1 NaN 54.5 NaN 630 630 1 1 0 0 flag(incomplete) - - - 
M1227 1 15.8 52.5 100 1046 1046 1 1 2 0 - - - - 
M0888 3 64.5 60.5 60.2 259.3 436.4 2.7 3 3 0 flag(scrs) flag(time) - - 
M1353 2 88.6 91.8 91.1 1332 2013.5 1 1 3 0 - - - - 
M0192 1 7.6 87.9 100 3835 3835 1 1 5 0 - - - - 
M0921 1 30.6 80.3 99 1990 1990 1 1 6 0 - - - - 
M0048 4 81 79.4 80.3 214 265.2 1 1 2 0 flag(scrs) flag(time) - - 
M1401 3 54.1 79.7 100 4988 5665.7 1 1 5 0 - - - - 
M0064 20 69.4 71.8 75.1 132 547 3.6 5 2 0.05 - flag(time) - - 
M0625 1 54.5 66.4 95.5 1346 1346 1 1 2 0 - - - - 
M0134 29 70.6 71.9 70.9 69.5 476.1 1.2 2 6 0.62 - flag(time) - - 
M0620 3 96.5 97.1 97.5 2129.7 2441.6 2.7 3 18 0 - - flag(seq) - 
M1070 33 10.9 13.1 94.6 59.7 461.4 7.1 13 4 0.55 - flag(time) - - 
M1171 4 67.7 65.1 84.1 237 625 1 1 7 0 flag(scrs) flag(time) - - 
M0592 6 70.9 77.6 79.6 275 375.3 1 1 4 0 - flag(time) - - 
M1038 1 71.9 58.5 70.7 820 820 1 1 2 1 flag(scrs) - - - 
M1562 1 59.6 59 53.3 373 373 1 1 0 0 flag(scrs) - - - 
M0428 1 71.5 82 94.3 2912 2912 1 1 3 0 - - - - 
M1543 51 59.7 60.9 57.5 14.1 355.9 20.8 27 88 0 - flag(time) flag(seq) - 
M1319 1 68 72.2 69.6 594 594 1 1 2 0 - - - - 
M1035 1 71.7 69.4 97.4 2556 2556 1 1 2 0 flag(scrs) - - - 
M0874 1 47.1 73.7 95.6 1446 1446 1 1 2 0 - - - - 
M1658 5 82.8 84 90 320 730.7 1.4 2 15 0.4 - - flag(seq) - 
M0179 2 62.3 58.9 97 1387 2466 1 1 2 0 flag(scrs) - - - 
M0981 1 65.4 51.2 73.8 6758 6758 1 1 2 0 flag(scrs) - - - 
M0512 8 91.9 91.5 91.9 460.4 570.3 5.8 7 6 0 flag(scrs) - - - 
M0002 2 92.6 91.9 91.8 498.5 574.2 2 2 4 0 flag(scrs) - - - 
M0047 1 11.9 81.1 100 1761 1761 1 1 4 0 - - - - 
M0949 1 95.2 89.9 96.4 333 333 1 1 3 0 flag(scrs) - - - 
M0024 1 19.4 75.7 99.2 1851 1851 1 1 8 0 - - - - 
M0505 27 23.1 24.3 19.9 35.5 327.2 17.7 24 168 0 - flag(time) flag(seq) - 
M1112 1 97.3 86 88.9 2469 2469 1 1 18 0 flag(scrs) - flag(seq) - 
M0379 1 91.8 87.3 76 3796 3796 1 1 2 0 flag(scrs) - - - 
M1651 2 60.2 42.3 55.8 186 456 1 1 82 0.5 flag(scrs) flag(time) flag(seq) - 
M0361 1 94.7 71.3 96.1 502 502 1 1 2 0 flag(scrs) - - - 
M1389 2 66.9 83.6 83.9 807 3300.5 1 1 3 0 - - - - 
M0040 2 59.4 62.2 63.6 2907 3193.5 1 1 2 0 - - - - 
M1263 1 63.2 76.7 80.8 249 249 1 1 2 0 - flag(time) - - 
M0000 1 90.5 80.3 82.7 2207 2207 1 1 2 0 flag(scrs) - - - 
M0577 3 91.2 89.9 89.8 379 2067.7 1 1 4 0 flag(scrs) - - - 
M0656 1 46.4 42.2 6.8 1742 1742 1 1 6 0 flag(scrs) - - - 
M0985 3 72.2 74.4 75 704 2559.3 1 1 2 0 - - - - 
M1029 1 26.4 87.6 97.4 2871 2871 1 1 3 0 - - - - 
M0219 1 43.8 61.3 61.2 415 415 1 1 3 0 - - - - 
M0017 1 11.6 69.3 99.5 1117 1117 1 1 3 0 - - - - 
M1324 1 52.8 59.8 59.2 4632 4632 1 1 0 0 - - - - 
M1325 1 55.3 61.4 69.1 1121 1121 1 1 3 0 - - - - 
M1638 1 48.1 62.2 46.8 424 424 1 1 3 0 - - - - 
M0535 4 74.6 73.8 71.1 865 1444 1 1 2 0 flag(scrs) - - - 
M0113 1 53.8 78.5 84.3 1084 1084 1 1 2 0 - - - - 
M0419 1 6.5 54.9 99 1268 1268 1 1 3 0 - - - - 
M0347 1 31.2 89 100 1363 1363 1 1 17 0 - - flag(seq) - 
M1220 9 25.9 74.8 100 750 1876.3 1 1 4 0 - - - - 
M1492 1 53.1 51 61 1153 1153 1 1 2 0 flag(scrs) - - - 
M0631 14 95.9 97.6 97.3 265 935.6 3.4 6 8 0.43 - flag(time) - - 
M0491 1 86.8 80.8 85.4 5297 5297 1 1 2 1 flag(scrs) - - - 
M1086 1 70.4 75.3 80.2 1113 1113 1 1 0 0 - - - - 
M1344 2 32.3 57.6 98.4 856 907.5 1 1 3 0 - - - - 
M1544 1 80.5 79.7 78 1401 1401 1 1 2 1 flag(scrs) - - - 
M0984 1 15.7 45.7 99.6 2632 2632 1 1 3 0 - - - - 
M1592 15 60.8 64.5 90.3 134 2120.6 1 1 6 0 - flag(time) - - 
M0910 15 50.1 59.3 84.5 1021 2904.4 1 1 5 0 - - - - 
M0587 1 64.7 62.7 59 2405 2405 1 1 2 1 flag(scrs) - - - 
M0814 1 15.3 70.8 99.8 1180 1180 1 1 2 0 - - - - 
M0867 1 23.3 83.6 99.1 1988 1988 1 1 3 0 - - - - 
M1561 1 55.4 56.4 93.2 1039 1039 1 1 2 0 - - - - 
M0234 1 15.4 70.3 100 4758 4758 1 1 4 0 - - - - 
M1564 1 1.8 58.8 100 2752 2752 1 1 2 0 - - - - 
M0426 2 27.7 45.3 99.8 2038 2049.5 2 2 4 0 - - - - 
M1390 5 76.8 78.3 78 278 604 1 1 4 0.4 - flag(time) - - 
M1445 1 73.5 72.9 73.6 821 821 1 1 9 1 flag(scrs) - - - 
M0474 1 14.2 56.1 100 2172 2172 1 1 5 0 - - - - 
M0349 1 76 70.9 63.7 317 317 1 1 3 0 flag(scrs) - - - 
M1419 1 17 30.1 9.2 394 394 1 1 6 0 - - - - 
M0238 36 68.8 69.9 73.4 236.9 1526.7 3.3 8 3 0 - flag(time) - - 
M0640 1 60.6 74.4 49.8 233 233 1 1 2 0 - flag(time) - - 
M1158 19 80 79.4 79.2 146.8 625 5.1 7 3 0 flag(scrs) flag(time) - - 
M0747 1 91.2 86 97.6 1202 1202 1 1 4 0 flag(scrs) - - - 
M1557 1 92.7 91.6 92.8 1543 1543 1 1 4 0 flag(scrs) - - - 
M0846 3 89.2 88 83 840.3 1706.7 2.7 3 5 0 flag(scrs) - - - 
M0114 3 62.5 59.5 56.8 625 967 1 1 2 0.33 flag(scrs) - - - 
M1137 12 69.5 67.4 69.1 81 412.9 7.9 10 2 0 flag(scrs) flag(time) - - 
M0172 8 94.4 96 96.6 256 926.2 1 1 43 0.62 - flag(time) flag(seq) - 
M0996 9 75.1 78.8 93.5 251 867.1 1.2 2 4 0 - flag(time) - - 
M0922 1 99.3 99.5 88.4 1328 1328 1 1 18 0 - - flag(seq) - 
M0670 5 85.7 84.1 83.7 798 1800.2 1 1 5 0 flag(scrs) - - - 
M0661 1 67.2 87.6 100 1175 1175 1 1 2 0 - - - - 
M1501 1 26 69.7 77.4 1350 1350 1 1 2 0 - - - - 
M1517 1 48.1 51.6 55.5 439 439 1 1 2 0 - - - - 
M0291 1 82.7 77.5 76.1 2090 2090 1 1 2 0 flag(scrs) - - - 
M1234 1 64.1 72.3 72.7 605 605 1 1 3 0 - - - - 
M0059 1 19.9 71.5 84.5 1011 1011 1 1 3 0 - - - - 
M0836 1 NaN 35 NaN 1070 1070 1 1 3 0 flag(incomplete) - - - 
M0328 1 69 62.7 56.6 2492 2492 1 1 3 1 flag(scrs) - - - 
M0657 1 73.1 68 69.9 2931 2931 1 1 0 0 flag(scrs) - - - 
M0644 1 73.7 67.6 84.6 335 335 1 1 2 0 flag(scrs) - - - 
M1337 1 43.9 83.8 100 2302 2302 1 1 3 0 - - - - 
M1373 1 61.6 69.6 91.3 1951 1951 1 1 3 0 - - - - 
M0501 1 61.8 91.4 83.7 1732 1732 1 1 5 0 - - - - 
M1391 1 89.8 89.1 99.4 1444 1444 1 1 2 0 flag(scrs) - - - 
M1653 1 39 62 99.7 1602 1602 1 1 2 0 - - - - 
M0958 1 2.4 75.9 56.9 2913 2913 1 1 8 0 - - - - 
M0810 4 79.6 78.4 78.2 2296 2649.4 1.5 2 3 0.25 flag(scrs) - - - 
M1527 1 2.9 32.8 99.1 4120 4120 1 1 2 0 - - - - 
M0502 1 27.9 76.1 28.3 697 697 1 1 22 1 - - flag(seq) - 
M0616 1 0 0 0 160 160 1 1 78 1 flag(scrs) flag(time) flag(seq) - 
M0986 1 21.3 65.2 100 1537 1537 1 1 3 0 - - - - 
M0742 1 69 74.9 96 2603 2603 1 1 2 0 - - - - 
M1634 1 27 96 100 927 927 1 1 13 0 - - flag(seq) - 
M0520 3 41.7 77.1 100 2172 3267 1 1 4 0 - - - - 
M1591 2 43.5 51.3 61.7 1826 2074 1 1 2 0 - - - - 
M1102 6 79.2 87.5 87.8 348.5 881 1.3 2 5 0 - - - - 
M0627 3 92.5 92.3 91.5 721.3 1057.6 2.7 3 4 0 flag(scrs) - - - 
M0233 1 49.8 73 83.1 2235 2235 1 1 2 0 - - - - 
M0901 8 53.7 56.9 63.5 109 362.9 1 1 7 0 - flag(time) - - 
M1270 1 73.5 73.7 74.1 458 458 1 1 3 0 - - - - 
M0284 1 64.8 58.6 75 615 615 1 1 0 0 flag(scrs) - - - 
M1577 1 24.5 82.4 99.2 1693 1693 1 1 3 0 - - - - 
M0904 1 82 82.8 98.2 1946 1946 1 1 2 0 - - - - 
M0133 1 44.8 79.7 96.4 4452 4452 1 1 2 0 - - - - 
M1166 6 42.7 75 73.4 2584 4816.3 1 1 2 0 - - - - 
M0246 1 NaN 84.4 NaN 1778 1778 1 1 2 0 flag(incomplete) - - - 
M0383 3 86.2 87.3 91.6 588 1482.7 1 1 4 0 - - - - 
M0683 1 16.4 77.5 99.3 1483 1483 1 1 3 0 - - - - 
M1340 1 93.4 86.2 95.3 4267 4267 1 1 3 0 flag(scrs) - - - 
M0199 23 77.8 85.7 93 209.1 1966.5 3.5 8 4 0.39 - flag(time) - - 
M1168 3 61 58.6 66.8 930 1762 1 1 4 0 flag(scrs) - - - 
M0517 27 71.8 74.6 94.3 901.4 2008.9 2.9 5 7 0 - - - - 
M0602 2 86.2 82.6 86.7 1560 4030 1 1 14 0 flag(scrs) - flag(seq) - 
M1450 2 34.5 37.8 33.1 834 1522 1 1 3 0 - - - - 
M0880 1 47.3 87.2 100 1400 1400 1 1 4 0 - - - - 
M0153 1 34.8 75.7 100 2565 2565 1 1 3 0 - - - - 
M0869 2 40.3 58.5 97.4 535 923.8 2 2 2 0 - - - - 
M1594 18 70 72.1 81 55.2 787.4 5.5 10 4 0 - flag(time) - - 
M1292 61 73.4 75.6 100 229.4 887 1.9 6 5 0.36 - flag(time) - - 
M1399 2 54.6 58.2 99.7 1898 2419 1 1 3 0 - - - - 
M0209 2 45.9 59.1 56.7 586 624 1 1 2 0 - - - - 
M0654 1 51.5 83.3 98.6 1617 1617 1 1 3 0 - - - - 
M1123 1 0 0 0 106 106 1 1 85 0 flag(scrs) flag(time) flag(seq) - 
M1383 1 77 93.3 99 2919 2919 1 1 4 0 - - - - 
M1228 2 71.9 70.7 71.1 2068 2123 1 1 2 0.5 flag(scrs) - - - 
M1436 1 84.2 70.1 85 472 472 1 1 3 0 flag(scrs) - - - 
M0766 3 69.1 66.9 59.5 598 1562.7 1 1 3 0 flag(scrs) - - - 
M0662 20 29.8 30.4 96.6 300.5 789.6 1.3 2 8 0 - - - - 
M0944 2 80.6 93.8 100 1449 1463 1 1 12 0.5 - - flag(seq) - 
M1392 3 77.3 70.6 71.3 347 405 1 1 2 0.33 flag(scrs) - - - 
M1532 1 46.3 86 99 2942 2942 1 1 2 0 - - - - 
M0099 1 3.3 72.3 99.8 2574 2574 1 1 5 0 - - - - 
M0294 5 85 86.6 83.8 461 1100 1 1 2 0 - - - - 
M0029 1 53.1 82.7 100 2171 2171 1 1 5 0 - - - - 
M0429 1 94.1 89.5 93.2 667 667 1 1 3 1 flag(scrs) - - - 
M0556 2 52.8 52.1 60.6 534 828 1 1 6 0 flag(scrs) - - - 
M1299 2 56.2 57.2 56.4 186.5 389.8 2 2 2 0 - flag(time) - - 
M0215 1 82 80.2 80.8 1924 1924 1 1 4 0 flag(scrs) - - - 
M0931 1 52 52.6 49.5 1802 1802 1 1 2 0 - - - - 
M0573 1 68 72.4 90.6 2175 2175 1 1 3 0 - - - - 
M0642 18 72.1 72.9 99.7 872 1992.6 1.3 2 4 0 - - - - 
M0306 1 24.1 69.3 97.5 1106 1106 1 1 7 0 - - - - 
M0919 1 24 85.4 99.7 730 730 1 1 4 0 - - - - 
M0582 2 62.5 71.2 63.7 179 364.8 2 2 3 0 - flag(time) - - 
M1580 1 80.7 73.9 75.7 1136 1136 1 1 2 0 flag(scrs) - - - 
M0467 28 59 59.3 100 68.8 667.1 4.4 8 7 0.75 - flag(time) - - 
M0751 1 59.1 67.6 50.6 686 686 1 1 0 0 - - - - 
M0957 2 90.1 86.3 87.1 192 221.5 1 1 3 0 flag(scrs) flag(time) - - 
M1565 1 3.1 78.4 100 1139 1139 1 1 6 0 - - - - 
M1497 1 43 48.3 40.8 740 740 1 1 2 0 - - - - 
M1410 1 77.3 74.6 82.5 539 539 1 1 2 0 flag(scrs) - - - 
M1011 7 63.2 64.4 67.8 132 294.9 1.6 2 2 0 - flag(time) - - 
M1281 1 22.6 76.2 100 4382 4382 1 1 2 0 - - - - 
M1693 1 65.9 67.2 60.9 1579 1579 1 1 0 0 - - - - 
M0700 1 0 0 0 477 477 1 1 75 0 flag(scrs) - flag(seq) - 
M0376 1 73.7 79.3 80.3 299 299 1 1 2 1 - flag(time) - - 
M0788 1 60.6 77.4 77.7 316 316 1 1 0 0 - - - - 
M0709 2 75 73.5 74 737 914 1 1 3 0 flag(scrs) - - - 
M1339 1 65.2 80.7 99.5 5368 5368 1 1 6 0 - - - - 
M0372 4 70.2 71.4 68.7 474 591.8 1 1 4 0 - - - - 
M0934 1 29.8 81.5 96.3 4490 4490 1 1 2 0 - - - - 
M0326 1 95.8 92 96.7 723 723 1 1 6 0 flag(scrs) - - - 
M1597 1 63 48.9 64 849 849 1 1 2 0 flag(incomplete) - - - 
M0892 1 20.1 57.7 100 1729 1729 1 1 3 0 - - - - 
M0043 2 21.2 89.2 95.3 2372 2575 1 1 14 0 - - flag(seq) - 
M0275 1 22.4 80.3 99.8 2404 2404 1 1 2 0 - - - - 
M1465 1 37.7 91.9 100 2542 2542 1 1 6 0 - - - - 
M0906 2 97.4 97.3 97.5 965 1027.5 1 1 21 0 flag(scrs) - flag(seq) - 
M0105 1 62.3 72.1 71.2 537 537 1 1 2 0 - - - - 
M0355 3 66.2 66 67.8 258.5 455.2 1.7 2 2 0.33 flag(scrs) flag(time) - - 
M0715 5 81.6 83.5 82.7 453 909.6 1 1 3 0 - - - - 
M1111 1 85.9 80.6 83 4386 4386 1 1 2 1 flag(scrs) - - - 
M0750 4 49.6 57.8 58.5 503 2360.8 1 1 2 0 - - - - 
M0262 1 77.8 75.3 73.8 3229 3229 1 1 2 0 flag(scrs) - - - 
M0583 1 73.5 75.6 70.7 706 706 1 1 2 0 - - - - 
M1528 1 15.2 78.7 99.9 1682 1682 1 1 4 0 - - - - 
M1204 3 58.8 58.1 62.2 1622 3534.7 1 1 2 0 flag(scrs) - - - 
M0617 1 0 0 0 3346 3346 1 1 86 0 flag(scrs) - flag(seq) - 
M1632 1 4.1 70.4 99.6 3484 3484 1 1 3 0 - - - - 
